S/N,PROJECT TITLE,PROJECT CATEGORY,Country(diry),OWNER NAME,BLURB
171B,"""Leave Hitler to Me, Lad"" hits the West End!",Theater,United Kingdom,Haley Cox (Mother Duck),"Americana Musical ""Leave Hitler To Me, Lad"" tells the true story of a lost generation of children in the aftermath of World War 2."
301B,Portrait by Above Bounds Theatre Collective,Festivals,United Kingdom,George Boundy,"Portrait is Above Bounds new family show which uses comedy, mask, puppetry and clowning in order to tell a story."
372B,FANATICON BETA,Festivals,United States,Dothan Fanatix (Phillip Chalker),"FANATICON is a multi-genre pop-culture festival for Southern Alabama. Featuring 2 days of Anime, Gaming, SciFi, Comics, Art and Music"
88B,Radio Ambulante,Radio & Podcasts,United States,Radio Ambulante,We are a new Spanish language podcast telling uniquely Latin American stories.
195C,The Fall Festival of Shakespeare: Chicago,Theater,United States,Two Pence Theatre Company (deleted),Help Two Pence help Chicago high school students rehearsedesignmarketand perform their own Shakespeare production!
132C,"""Orpheus & Eurydice"" at the Philly Fringe Festival",Theater,United States,Melissa Nally,An original musical that puts a freshmodern spin on the classic Greek myth about undying love and the danger of tempting fate.
249B,TALES OF A FOURTH GRADE LESBO: TAKE 2!,Theater,United States,Gina Young,"A joyful, dance-filled theater piece about the subtle forms of homophobia that all of us-- queer and straight-- experienced growing up."
189B,Dr. Chekhov's Swan Song (+ Other Prescriptions),Theater,United States,The Rats Company,Acclaimed director Aleksey Burago stages a delicious collection of short stories by Anton Chekhov at the historic Stanton Street Shul.
172B,FIELD HOCKEY HOT - a world premiere musical!,Musical,United States,11th Hour Theatre Company,Join the team to help 11th Hour Theatre Company bring their 1st WORLD PREMIERE MUSICAL to Philadelphia this March!
44,Stand Up & Slam! at the Edinburgh Fringe,Festivals,United Kingdom,Lucy Danser,Bringing together art forms by making them fight - and challenging audience perceptions. It's Comedy VS Poetry in a spoken word battle!
636C,Butterfly Butterfly KIll Kill Kill! @NY International Fringe Festival,Theater,United States,Depth Charge,"A yakuza noir inspired by Japanese New Wave auteur Seijun Suzuki's ""incomprehensible"" masterpiece film, Branded to Kill. Violence, puppets, live jazz!"
275B,Wonderland Escapades,Musical,United States,Maria Russell,"""Wonderland Escapades"" is an Anti-Bully Musical based on the characters and scenes of 'Alice in Wonderland'."
321C,Scrappy Shakespeare: A Midsummer Night's Dream,Plays,United States,HUB-BUB,Six Spartanburg-based professional actors perform A Midsummer Night's Dream outdoors in downtown Spartanburg.
142B,Tales of a Red Clay Rambler Podcast: Season 3,Radio & Podcasts,United States,Carter Pottery,Help fund the third season of this thought-provoking podcast exploring the lives of creative people around the world.
357B,Cinefex Classic Collection for iPad,Periodicals,United States,New Scribbler Press,Carry the entire history of modern visual effects with you on your iPad.
441C,Online Community Rights Hub + Special Edition Magazine,Publishing,United States,Simon Davis-Cohen,A place to share and compare stories and advice from communities working to assert their rights.
96C,Turn That Thing Around (A Manic Narrator's Longest Ride),Immersive,United States,Aaron Harris Woodstein,Jacka bisexual worries he may have contracted HIV. 3 days of waiting for the result spirals into a full-blown manic episode onstage.
97C,Roughly Speaking: Voices from The Soup Kitchen,Plays,United States,Shara Ashley Zeiger,Five playwrights volunteer at New York's largest soup kitchen and develop a play around the people they meet.
548C,Lion (El León): An Absurdist Bi-Lingual Comedy,Theater,United States,Chris Davis,"Lion (El Leon) is a bilingual (Spanish and English) comedy exploring culture clash, alienation, and the occasional animal nose."
184C,Babble Play,Theater,United States,Jessica Going,Babble is a new play inspired by an old story.
287B,"""AFROS - A Celebration Of Natural Hair"" by Michael July",Art Books,United States,Michael July,This is a 450 page book that captures the spirit and diversity of Afros & natural hairstyles today.
110C,Diana Son's Stop Kiss,Theater,United States,Mykal Monroe,"A collaborative, explorative, and risky theatre project truly reflective of the diverse landscape of both New YorkNY and AustinTX."
448B,Marching On Together,Theater,United Kingdom,Adam Hughes,Please help fund Adam Hughes dark and daring new play about the fall of the Leeds United hooligan scene.
440C,Broadway+Thresher: A Digital Magazine at the Crossroads.,Periodicals,United States,David Gobeli & Andrew Kohn,Standing at the intersection of urban innovation and rural living.
203C,Tilted Field presents NO STATIC AT ALL in New York City,Plays,United States,Alex Knox,This one-man play made a splash on the west coast. Help shine a spotlight on this rock & roll spectacle in NEW YORK CITY!
145B,JAM - A Collection of Epic Live Photos from Jay Blakesberg,Art Books,United States,Jay Blakesberg,"Jay Blakesberg presents JAM, a 192 pg. hard back coffee table book of live music photography & extensive quotes from notable musicians."
260B,"1st Annual Sankofa Play Festival ""Fractured I.D.""",Theater,United States,Austin Talley,"""Fractured I.D.""- a three day festival featuring live music, poetry, solo performances, dance and staged readings..."
335B,The Night Kitchen Cabaret presents The Imbolc Blues,Theater,United States,The Night Kitchen Cabaret,"The Imbolc Blues is a surreal and compelling tale from The Night Kitchen Cabaret featuring theatre, circus, music and dance. "
99,Lady Layton Merch & Big Band School!,Musical,United Kingdom,Lady Layton,Lady Layton's Kick Starter Merchandise & Big Band campaign..needs YOU! Help me kick start my tour & career with much needed merchandise
408B,"Tedious Brief's debut of ""TEMPESTS"" @ the 2011 MN Fringe",Theater,United States,Tedious Brief Productions,James Cameron's classic movie Aliens is re-imagined as a Shakespearean sequel to The Tempest.
272B,Help pay for space for Entropy - A Love Story!,Theater,United States,Christine Deitner,"An original play featuring 5 passionate, dedicated and talented individuals that is about love, heartbreak and hope in the 90s in NYC."
538C,"Go People does 'Almost, Maine'",Plays,United Kingdom,Go People,One of the most popular American plays of the last decade comes to London for its international premiere. Festive and bittersweet.
137,Napoleon in Scotland / Napoléon en Ecosse,Plays,FR,Analia Téléga,"A Fantastic creation about Napoleon, through his words and letters, sublimated by a musical score of rare beauty. Magnificent poetry!"
214B,I GOT GOOD HAIR,Children's Books,United States,Morgan Cruise,Diverse books for diverse children
369C,Reynolds & Griffin: Awesome New Book Project,Poetry,United States,Reynolds & Griffin,A writer. An artist. One black. One white. Both named Jason. Find common ground. 
283C,Roll Out: ! Death 40-Feet Tall !,Theater,United States,BGF Central,A story of two best friendsgiant robotsand the quest to become your own Prime.
486B,The Hat,Plays,United States,Greg Brisendine,"Six gay men, emotional baggage, and online dating: what could go wrong? A play about looking for love and finding something better."
209B,Young Philosophers Theater Company Winter Productions,Plays,United States,Emma Mantoani,Two shows! (we're feeling particularly ambitious). Help us produce Eurydice and The Effect of Gamma Rays on Man-in-the-Moon Marigolds!
128,Judas Redux,Theater,United States,Julia Albain,"""The Last Days of Judas Iscariot"" by Stephen Adly Guirgis. August 23- Sept 8th. Chicago IL.  It's finally happening."
56,Prison Boxing: A New Play by Leah Joki,Plays,US,Skylight Theatre Company,A one-woman theatrical exploration of the prison system and its inhabitants.
377B,Normal Things' in Nijmegen,Experimental,Netherlands,Matthías Sigurðsson & María Arnardóttir,An electronic music show where everyday objects become something completely out of ordinary.
423B,Thrilling Tales of the Downright Unusual: The Toaster With TWO BRAINS,Fiction,United States,Bradley W. Schenck,"Thrilling Tales of the Downright Unusual is a series of illustrated, interactive stories from the Future That Never Was - on the web, and in print."
427B,Positano: Dream Place,Fiction,United States,Kristen Schwarz,"What do we seek now when we travel, and how do we share it in a compelling way?  Help me build a book on Positano and travel writing. "
475C,King Kong: A Puppet Show,Theater,United States,Ladd N Wendelin,A puppet theatre adaptation of the classic 1933 film King Kong by local actor and puppeteer Ladd Wendelin.
229B,Slow Holler Tarot Deck,Publishing,United States,Slow Holler,Collaboratively illustrated and imagined tarot deck. 29 artists and 3 writers with Southern ties or queer identities or both.
405C,Girls Who Drew Horses,Theater,United States,Meghann McCracken,A woman lost in travel finds herself confronted by ghosts of her youth through dialogue with an abandoned Japanese doll.
196C,Restore the Roxy,Theater,United States,Philadelphia Film Society,Help bring film from around the world to Philadelphia by supporting PFS in their effort to restore the Roxy Theater.
405B,"Living Creatures, a new play by Ashley Rose Wellman",Theater,United States,Ashley Rose Wellman,A groundbreaking new play about a family torn apart by death stumbling into an afterlife that looks exactly like their home. Almost.
631C,The Grimaldis: A Musical Ghost Story,Theater,United States,Dane Ballard,The Grimaldis combines a standard book musical with circus arts and  cabaret for an amazing night of immersive entertainment.
251B,All-Female HAMLET for L.A. Women's Shakespeare Company,Theater,United States,Los Angeles Women's Shakespeare Company,Los Angeles Women's Shakespeare Company celebrates 20 years of excellent all-female multi-cultural Shakespeare by presenting HAMLET!
342B,KISS-Start Mark Gindick's Wing-Man!,Theater,United States,Mark Gindick,"Follow Mark Gindick's kissing booth to help him build a social media ""Clown Cloud"" for his award-winning one-man show!"
430C,Frankenstein: The Puppet Opera,Experimental,United States,Craig Joseph,"An art gallery, two composers, several visual artists, performers, and musicians come together to tell a classic tale - with puppets."
471C,Creation of the Dublin Circus Centre,Spaces,Ireland,Dublin Circus Project,"We are fundraising to create a Dublin based circus training centre for public and professionals to learn, upskill, perform and teach."
219C,The Man from Willow's Brooka new play by Kevin Kordis,Plays,United States,Kevin Kordis,We have the Blackbox Fellowship at Boston Playwright's Theatrenow all we need is your support to produce Kevin's new play!
