S/N,COUNTRY,PROJECT TITLE,PROJECT CATEGORY,OWNER NAME,BLURB
131,United States,Shark Bay Pirate Festival,Festivals,Kittye Williams,"Oklahoma's First Pirate Festival opens November 14 & 15, 2015. Step back to 1620 Port Morgan, Hispaniola & let loose your inner pirate!"
133,United States,Help Fund Anything Goes At Mhs!,Musical,McFarland High School Musical,Please help McFarland high school raise money for our production of Anything Goes!
135,United States,"""Annie"" - Help Cehs Make This Happen!",Musical,Reagan Educational Center Foundation,"CEHS is producing ""Annie"" but we need your help! Please donate to help offset the costs of this show including 3-12 grade students."
137,France,Napoleon In Scotland / Napoléon En Ecosse,Plays,Analia Téléga,"A Fantastic creation about Napoleon, through his words and letters, sublimated by a musical score of rare beauty. Magnificent poetry!"
139,United States,"A Gentleman, A Lady And A Thug",Plays,Dorothy Harris,I love to write. I have written and published my first book and everyone that read it enjoyed it. My dream is to one day write movies
141,United Kingdom,Get Trip The Light Theatre's Show To Its 2Nd London Stage!,Plays,Cassiah Joski-Jethi,Trip The Light Theatre needs YOUR help to fund it's second run of its debut production 'The Sun Shining On her Hands' in London.
75C,United Kingdom,Wes Anderzine,Zines,Owen Clements,a zine devoted to Wes Anderson
76C,United States,Beautiful Trouble,Nonfiction,Beautiful Trouble,Beautiful Trouble will be a book & web toolbox that puts the best practices of creative action in your hands.
77C,United States,Creature Discomforts,Children's Books,Jessica Feinberg,A 50 page book of crazycutecreepy creatures with cleverwackypoems about them by Jessica Feinberg and Alese Lea Taylor.
78C,United States,Let's Talk Calmly About Security And Privacy,Radio & Podcasts,Matthew Burton,A former intelligence analyst/government transparency advocate talks to his colleagues about the past year's NSA revelations.
79C,United Kingdom,Russian Criminal Tattoo Police Files,Art Books,FUEL Design & Publishing,A new book featuring incredible photographs of Russian prisoners tattoos and their coded meanings collected from Soviet Police files.
80C,United States,The Beat Cop's Guide To Chicago Eats,Publishing,Lake Claremont Press,Street smarts for your eat smarts. When the Beat Cop pauses from taking a bite out of crimehe grabs a bite at joints all over town.
81C,United States,A Guidebook Of Alternative Nows,Art Books,Amber Hickey,"A book featuring visionary thinkers and makersilluminating more ecologicallyeconomicallyand socially just versions of ""now."""
82C,United States,Beervangelist's Guide To The Galaxy: Book Launch,Nonfiction,Fred Bueltmann,"A philosophy on food and drink""Beervangelist's Guide"" invites and informs; teaching the reader how to artfully integrate beer & food."
83C,United States,Spatter & Spark: Interactive Story & Activities App For Kids,Children's Books,Polk Street Press,"Reinvent stories and learning for kids with Polk Street Press, NYTimes bestselling author Deborah Underwoodand artist Luciana Powell."
84C,United States,Fantasy Coloring Books For (So-Called) Grown-Ups,Art Books,Ellen Million,"Mermaids, Fairy Tales, Zombies, and more. I'm printing a collection of collaborative coloring books...for (so called) grown-ups!"
85C,United States,The Choose Your Own Adventure With Jesus Book!,Publishing,Brock Laborde,"A comedic ""Choose Your Own Adventure""-style book that lets you control Jesus Christ during Bible times. Danger! Sex! Demons! Fun!"
86C,United States,Screen Printing: On The Cheap Book,Publishing,Screen Printing On The Cheap,This DIY book project instructs how to screen print out of your living space and design a semi-professional shop with a modest budget.
87C,United States,Upstate Brew York Winter Edition,Periodicals,Ben Meyers,The 2013-2014 Winter edition of Upstate Brew York is ready to gobut in order to cover printing costs we need some help!
88C,United States,Little Evil Genius,Children's Books,E.A. Perkins,"Being a Little Evil Genius is hard sometimes and obstacles are not in short supply, but with enough determination anything is possible."
89C,United States,The Snow Queen,Children's Books,Julia Griffin,An illustrated retelling of Andersen's classic fairy tale.
90C,United States,Byron's Abc Book,Children's Books,Sven Bylander,An ABC book where A is not only for apple. Children already know about apples so there are none in this book.
91C,United States,Sioux Magazine,Publishing,Sioux Magazine,SIOUX MAGAZINE is a collaboration of creative minds and dexterous hands exploring the uncharted ideas of the limitless human psyche.
92C,United States,Nick May's Molecricket,Fiction,Nick May,"Help me publish MOLECRICKET, the story of a young boy, a plagued farm, a devout family, and a terrible secret."
93C,United Kingdom,The Box Of Tricks Tour,Theater,Pagelight Productions,Ever lost anyone close to youand regretted the last thing you said?
94C,United States,"Boom! International Tour - Circus, Theatre, Masks And Music!",Festivals,David Poznanter,We are creating a circus show with theatrical masks and live music for a multi-year international tour.
95C,United States,"Schmooze Over Miami, A Theatrical Pub Crawl",Theater,Front Yard Theatre Collective,Take a tour of Downtown Miami's best bars while you journey through time with Miami's own Front Yard Theatre Collective.
96C,United States,Turn That Thing Around (A Manic Narrator's Longest Ride),Immersive,Aaron Harris Woodstein,Jacka bisexual worries he may have contracted HIV. 3 days of waiting for the result spirals into a full-blown manic episode onstage.
97C,United States,Roughly Speaking: Voices From The Soup Kitchen,Plays,Shara Ashley Zeiger,Five playwrights volunteer at New York's largest soup kitchen and develop a play around the people they meet.
98C,United States,Build The House Of Dad's!,Spaces,Dad'S Garage Theatre Company,Dad's Garage Theatre Company needs your help buying our newforever home by hitting our $150000 STRETCH GOAL!
99C,United Kingdom,My Name Is B,Experimental,Company B,"MY NAME IS B is inspired by Andersen's The Red Shoes and Breuer's case of Anna O. It explores obsession, celebrity & mental health."
100C,United States,"Fat Pig, The Play!",Plays,Alexandra Castro,Bringing one of Neil LaBute's incredibly witty and viciously honest playsabout body image and the effect it has on usto life!
101C,United States,Strange Weather,Musical,Alexa Andreas,"The music of Tom Waits, a wild, whiskey-soaked underworld, a spectral band  and the living memories of a troubled man."
102C,United States,Distant Fires,Theater,I.N. Sierros,"A funny and insightful play about a crew of high rise construction workers arguing their way up the ""ladder of opportunity."""
103C,United Kingdom,Misfits Of London: The Gin Chronicles,Plays,Interrupt The Routine,We had everything sorted for the Fringebut now our accommodation and Edinburgh angel have fallen through. We're needing vital help.
105C,United States,Evil Dead: The Musical,Theater,Kevin,"Ghost Light Theater is looking to create its biggest show yet, the bloodiest celebration of the Raimi's legendary trilogy!"
106C,United States,Rorschach Theatre's Truth & Beauty Bombs: A Softer World,Immersive,Rorschach Theatre,"Rorschach Theatre will create and produce a brand new play inspired by the sharp, dark, weird and hilarious web comic A SOFTER WORLD."
107C,United States,The Gray Man,Plays,Pipeline Theatre Company,The Gray Man isn't real. He's a ghost storya boogeymana tale mothers make up to keep their children safe.
108C,United States,We Happy Few Presents The Tempest,Theater,We Happy Few Productions,WHF conjures the primal magic of a living island using only the bodies and voices of an eight-actor ensemble - and Shakespeare's words.
109C,United States,A World Premiere Multi-Writer Play Of Epic Proportions!,Theater,Amios,Help us discover what happens when 5 writers create a single script  brought to life by 2 directors & 7 actors in May 2013.
110C,United States,Diana Son's Stop Kiss,Theater,Mykal Monroe,"A collaborative, explorative, and risky theatre project truly reflective of the diverse landscape of both New YorkNY and AustinTX."
111C,United States,3 Sticks Presents Paper Planea New Piece Of Music-Theatre,Theater,Ben Gansky,"Set in the Great Depression at the intersection of trains and planes, Paper Plane is a journey of escape and discovery."
112C,United States,Split Knuckle Theatre's Endurance Comes To New York City!,Theater,Split Knuckle Theatre,Split Knuckle Theatre brings its world-renowned show Endurance to the APAP/NYC conference this January!
113C,United States,A Catered Affair,Theater,Porchlight Music Theatre,When an only daughter gets marriedit's a romantic affaira family affair...
114C,United States,Homo File:  Chronicling The Life Of Samuel Steward,Theater,Seth Eisen,Seth Eisen directs a Queer history performance about the life of Sam Steward(1909-1993) professorauthortattoo artist & sex rebel.
115C,United States,"Young Actors Co-Op Performs ""A Christmas Carol""",Theater,Young Actors Co-Op,"The Young Actors Co-op of FloydVirginia performs ""A Christmas Carol"" in December. The sets will be huge! The cast is huge! The budget is small."
116C,United States,"""Let's Sing A Show Tune!"" A New Musical Revue",Theater,Ron Lytle,A Madcap Musical Revue Featuring the Songs of Ron Lytle.  Opening Night: January 182013!  Alcove TheatreSan Francisco
117C,United Kingdom,Gilead'An Original Theatre Piece,Plays,Hux Productions,Gilead' is an original theatre piece inspired by Margaret Atwood's 'The Handmaid's Tale'. (Brighton Fringe 2014)
118C,United States,Indulge Cock And Bull's Voolf,Experimental,Cock & Bull Theatre,Voolf explores the world of fairy-tales with a voracious appetite. An experimental theatre production by Chicago's Cock and Bull.
119C,United States,The Vivian Girls: A Musical,Musical,Stacy Sims,THE VIVIAN GIRLS is a musical by Stacy SimsPeter Adams and Heather Britt that is inspired by the work of outsider artist Henry Darger.
120C,United States,The Deepest Play Ever : The Catharsis Of Pathos,Theater,Collaborationtown,Before Mother Courage there was Mother LaMadre.  THE DEEPEST PLAY EVERis an unrivaled masterpiece of modern dramatic writing.
121C,United States,The Dreamer And The Acrobat At The Frigid Ny Festival,Theater,Stav Meishar,A dark faerie tale about lovebaked goodscircus and courage. Support our play's first run in NYC!
122C,United States,Ticktick...Boom!,Theater,Porchlight Music Theatre,"Before ""Rent"" Jonathan Larson had another story to tell...his own ""ticktick...Boom!"" April 28th-June 10th at Stage 773-1225 W Belmont"
123C,United States,The Play About My Dad At 59E59 Theaters This June,Theater,Collaborationtown,"CollaborationTown's latest production, THE PLAY ABOUT MY DAD - opens at 59E59 Theaters on June 16 - Kickstart the production values!"
124C,United States,Smart Mail,Theater,Nettelhorst School'S 2014 8Th Graders,"Smart Mail is a tabletop organizer for the kitchen/office designed by 8th grade Chicago Public School students, and built in Chicago."
125C,United Kingdom,Silk Road The Play By Alex Oates - Edinburgh 2014,Festivals,Emily Hubert,"Drugs, love and tea cosies collide in Alex Oates's debut comedy about a young lad tangled in the dark web. @silkroadtheplay"
126C,United Kingdom,The Downfall Of The School' Live Concert Recording,Musical,Robert Gathercole,"Mad Hatter Productions' first original musical 'The Downfall of the School', is being adapted for a live concert recording on Dec 19th!"
127C,United Kingdom,Get Twentysomething To Edinburgh Fringe Festival!,Musical,TwentySomething Productions,TwentySomething Productions are taking 6 - a new musical and The Platform concert series to Edinburgh Fringe Festival 2014!
128C,United States,Abraham Werewolf Presents Paper Thin Walls,Theater,Abraham Werewolf,Help Chicago-based theater collective Abraham Werewolf put up their next productionPAPER THIN WALLS.
129C,United States,I Do Wonder,Plays,Matt Bayer,A Sci-fi play in several vignettes that will narrate an alternate history in the mid-20th century.
130C,United Kingdom,Death Ship 666! - The Titanic Parody Play,Theater,Box Step Productions,Titanic' and 'Airplane!' collide in this joyfulfast-paced disaster parody play. Docking at Edinburgh Fringe 2013.
131C,United States,The Neverland Players At The Minnesota Fringe Festival,Festivals,The Neverland Players,"""Best kids show of the Fringe!""The Neverland Players are returning to Minneapolis to perform at the 2014 Minnesota Fringe Festival!"
132C,United States,"""Orpheus & Eurydice"" At The Philly Fringe Festival",Theater,Melissa Nally,"An original musical that puts a fresh, modern spin on the classic Greek myth about undying love and the danger of tempting fate."
133C,United States,Go Roadshow,Theater,Squonk Opera,"A free street spectacle on a monster truck""GO Roadshow"" will be a joyous pop-up musical celebration."
134C,United States,Play / Date - An Immersive Theatrical Nightclub Experience,Immersive,Blake McCarty,Play/Date is an immersive theatrical experience in a night club featuring 18 actors in 17 plays by 17 playwrights - all about dating.
135C,United States,Doctor Faustus Lights The Lights,Theater,Doctor Faustus Lights The Lights,"Fragmented identities, the collision of technology and nature, the machine and the humanantlered nymphsa vipera devila dog."
136C,United States,Endtimes Presents: Vignettes For The Apocalypse V,Theater,EndTimes Productions,Vignettes for the Apocalypse V is the fifth annual edition of New York's oldest and largest Sci-Fi/Horror themed theater festival.
137C,United States,"Blood Play, The Next Brand-New Play By The Debate Society",Theater,The Debate Society,"Whispers in the basement bars around the neighborhood. Kids, terrified, telling trembling tales in tents in the yard...He's out there."
138C,United States,4 Trains/ Signaling Arcana,Theater,Christine Marie,A live scored shadow theater production featuring 3D special effects-a spectacle unlike any you've ever seen.
139C,United States,3 Singers : A Techno Opera,Theater,Erica Mott,A performance installation in soundmovement and visual imagery of the labor movement that sprang from the industrial revolution.
140C,United States,Nordo's Culinarium: Where Food Meets Art,Spaces,Cafe Nordo & Ripple Productions,"A place where innovation, food, creativity and performance live year round in a historic building in Pioneer Square."
141C,United States,The Revival,Theater,John Stoops,Bringing improvisational comedy back to its birthplace on Chicago's historic South Side.
142C,Germany,My Own Musical,Musical,Mirjam Sigg,All the world's a stage...It is my biggest dream to perform my ownselfcreated musical with lots of kids as big as I am able to.
143C,United States,A Slice Of Reggie - An Original Musical,Musical,Benjamin Sulzberger,"Staging a musical about love anger pizza and presidents written by two high school seniors from Iowa. Kinda crazy, right?"
144C,United Kingdom,Re:Home By Anna Jordan,Theater,Offstage Theatre,"Directed by Cressida Brown, Anna Jordan's RE:Home will explore what impact regeneration has had on Leyton's Beaumont Estate."
145C,United Kingdom,Tamfest,Festivals,Meredith McCrindle,"Tamfest is Ayr's spooktacular Halloween celebration with a Tam o' Shanter twist.So join ghosts, ghouls and goblins in the town centre"
146C,United Kingdom,The Book's The Thing - Welcome To Hamlet's Library,Plays,Librarian Theatre,The first regional library-touring show from new UK company Librarian Theatre - transforming local libraries into magical theatres
148C,United States,The Nerdsync Podcast!,Radio & Podcasts,Scotty Niswander,There are no nerdy thingsonly nerdy people! Listen and laugh along every Monday on the NerdSync Podcast!
149C,United States,Yin The Master Of Yo Project!!!!!!!,Children's Books,Pixel Pirate Studio,We are raising funds to print our first self published kids book. Every little bit helps get us closer to our goal and inspiring children to read.
150C,United States,The Stage At Kdhx,Radio & Podcasts,Campaign For KDHX,"The Stage at KDHX will be a beacon for artistic independence in the heart of the country, showcasing new artists and old favorites."
151C,United States,Elidaire:  The Tome Of Knowledge,Young Adult,Melanie A Gabbard,YA Urban Fantasy Novel of demon-hunting warriorslosing their abilitiesand a mysterious girl's dreams change everything.
152C,United States,Gwendolyn And The Underworld,Art Books,Bill Robinson,An illustrated storybook about a young Pet Reaper who ventures to solve the mystery behind her Overworld roots.
153C,United States,Crab & Willa Tale Of Shakespeare's Dog,Children's Books,Gregory Magnuson,I will give my children's book to schools and organizations that support abused children.  Fun introduction to Shakespeare!
154C,Canada,Glory And Triumph - Never Before Seen Hockey Photos,Publishing,Andrew McCall,Go where no fan has gone before! Glory and Triumph takes you on a journey through time with never before seen photos of NHL legends.
155C,United States,Elephabet Wants To Be An E-Book And Poster When It Grows Up!,Children's Books,Hilary Pfeifer,Elephabet is a book and stop-action animation that celebrates the alphabet. Wouldn't it be cool to also have it as an e-book or poster?
156C,United States,The Zen Habits Book,Nonfiction,Leo Babauta,"A book about mastering the art of change - how to change habits & deal with life changes, frustrations with others and more."
157C,United States,8Th Annual Buffalo Small Press Book Fair!,Publishing,Chris Fritton,The BSPBF is a regional two-day event that brings together cultural workers involved in book artsprintingsmall pressand writing.
158C,United States,One Loves Only Form,Radio & Podcasts,Emily Gable,Public Radio Project
159C,United States,A Million Miles - A Novel,Fiction,Amy Fleisher Madden,A Million Miles is an intense coming of age story told with the indie/emo music scene of the late '90s set as the backdrop.
160C,United Kingdom,Casting Shadows: Extraordinary Tales From New Writers,Fiction,Word Machine Press,Casting Shadows is an anthology of eight haunting tales illustrated with beautiful black and white images.
161C,Australia,The Lush Scoop Magazine,Zines,The Lush Scoop,"The Lush Scoop is a cruelty-free lifestyle magazine exploring Food, Culture & the Arts."
162C,United States,Mood Music & Food Magazine,Periodicals,MOOD Music & Food Magazine,MOOD is a magazine about music and food. We have one issue online and now we want to go to print. Join us!
163C,United States,"""Falcons In The City"" Children's Picture Book",Children's Books,Lisa Manning,"Falcons in the City is a picture book about Frida the peregrine falcon who lives on the Fremont Bridge in Portland, Oregon."
164C,United States,Working Through The Great Recession,Nonfiction,Andrew Edwards,During the recessionI worked a bunch of crazy jobs.  I decided to write about them.  This book is a collection of those stories.
165C,United States,Graveyard Afterparty: A Reflection On Life & Death,Fiction,IF Collective,"A collection of stories, music and visual art inspired by the day of the dead."
166C,United Kingdom,Interview With A Genius And Half Arsed Flyerer To Edinburgh,Festivals,George Vere & Adam Willis,George and Adam are taking two shows to the Edinburgh Fringe Festival and they need your help
167C,United States,The Pointa Show In The Women's Voices Theater Festival,Festivals,Arcturus Theater Company,The Point is a stage work about the impact a middle-aged woman's dementia has on the her and her network of family and friends.
168C,United States,Darryl Reuben Hall's The Dinner Nat'L Premiere In Ny Fest!,Plays,Darryl Reuben Hall,"A 'tasty' new drama ~""Booker T Washington of Tuskegee, Alabama, dined with the President (Roosevelt) last evening.""~ the White House."
169C,United States,The Official Houdini Séance 2015,Immersive,Tucker Hiatt,Contact the spirit of the great Houdini? Skeptics and believers try at SF's Brava Theater on the anniversary of his death: Halloween!
170C,United States,Rashomon: Reloaded,Experimental,Rebatensemble Theatre Group,"REBATEnsemble re-imagines Akira Kurosawa's legendary film as theatre and reloads it with a mix of music, pyrotechnics, and Kabuki."
171C,United States,The Asylum- A Nightmare Marlborough Haunted House,Theater,Leah,"Non-profit, volunteer based, neighborhood 4 night Haunted House run by a Halloween fanatic family supporting Marlborough food pantry"
172C,United States,"Pretty Filthy:  A New Musical About The ""Other"" Hollywood!",Musical,The Civilians,The award-winning Civilians theater company is producing a new musical about porninspired by real-life stories.
173C,United Kingdom,Billy Through The Window,Festivals,Bellow Theatre,Not everyone is normal. In fact no-one is. A thrilling and tender new play about two extraordinary boys. #BillyTTW
174C,United States,Dancers,Experimental,Francesca Spedalieri,A movement play in translation: a woman dances backwards through memories to be reunited with her husband and re-live their love story.
175C,United States,"Storm, Still At Brooklyn Yard",Immersive,Gabrielle Reisman,"As they clean out their father's house, three siblings play a fast and loose game of KING LEAR- part eulogy, part backyard party."
176C,United States,Queen Mab's Steampunk And Fairie Street Festival,Festivals,The Enchanted City,"Help support this free steampunk and fairie themed street festival in TroyNY featuring music, performances, vendors and more!"
178C,United Kingdom,The Van Dyck Vanishments,Immersive,The Milo Wladek Co.,"Step into a machine that takes you INSIDE works of art. This immersive experience at GEEK 2015 combines gaming, theatre and fine art."
179C,United States,"Time, A Fair Hustler: Help Hand2Mouth Build A Time Machine",Theater,Hand2Mouth,"Portland1990: Gus Van Sant films ""My Own Private Idaho"".  Portland2015: H2M uses the film to uncover where the characters are today"
180C,United States,The Floatones 2015 At La Mama,Experimental,Catherine Galasso & Keith Mcdermott,"THE FLOATONES: A play by late downtown theater legend Jim Neu, makes a comeback at La MaMa 20 years later with an all new cast."
181C,United States,Invest In New Folk Opera About Sojourner Truth.,Theater,Linda Mcinerney,Share in funding our new folk opera about the life of Sojourner Truthex-slave and fiery abolitionist who fought for the freedom of women and slaves.
182C,United Kingdom,Faustus,Plays,I'Ll Be Right Back,I'll Be Right Back presents a story of murder and corruption. Faustus is a modern re-imagining of Christopher Marlowe's classic tale.
183C,United States,Short Plays By Short People Theatre Festival,Theater,Stagewrite,Six plays written by 5th graders and performed by professional actors and musicians at the Brava Theater May 8th & 9th
184C,United States,Babble Play,Theater,Jessica Going,Babble is a new play inspired by an old story.
185C,United States,The Voix De Ville! : A Pop-Up Theater And Cabaret,Spaces,Jason & Danielle Tilk,"Voix de Ville is a pop-up imaginarium of neo-vaudeville, musical extravaganza, circus arts, comedy, and theatre in a tiny circus tent!"
186C,United States,Summer Fourplay,Plays,Kate Reinking,Four Directors.  Four One Acts.  Four Genres.  For You.
187C,United States,The Wild Plan: A New Kind Of National Theatre Tour,Theater,Ben Gansky,"The Wild Plan is a new way to produce and tour theatre across the country, creating shared experiences of wonder for communities."
188C,United States,Antebellum,Immersive,Gogol Annex,The world premiere of a new theatre installation performance - a portrait of the notorious and famed in pre-Civil War era New Orleans
189C,United Kingdom,Frankenstein: The Metal Opera,Musical,Richard Campbell,This Hallowe'enwitness a faithful re-telling of the classic gothic novel during a night at the opera like no other.
190C,United States,Amsterfrance: A Performance And Research Tour,Theater,Melissa Chambers,New York actor / director Melissa Chambers charges towards Europe!
191C,United States,Boa X: The Bay One-Acts Festival 2011,Festivals,The BOA Festival,The Bay One-Acts Festival (BOA) showcases the best short plays from the most exciting independent theatre companies in San Francisco.
192C,United States,The Tempest Ladies Take On Manhattan,Theater,The Tempest Ladies,Our show is a non-traditionalensemblephysically based  approach to Shakespeare's 'The Tempest.' We are launching an NYC production this fall.
193C,United States,"He Who, From Theatre Zarko And Michael Montenegro",Theater,Michael Montenegro,Darkly comic and surreala project set to premiere on th Steppenwolf Theater Garage stage in Feb. 2012.  We need you to back us today.
194C,United States,"""It's The Holidays"" Old Time Radio Convention",Theater,Sperdvac,A three-day celebration featuring panels and re-creations celebrating the Golden Age of Radio with the stars who made it all possible.
195C,United States,The Fall Festival Of Shakespeare: Chicago,Theater,Two Pence Theatre Company (Deleted),"Help Two Pence help Chicago high school students rehearse, design, market, and perform their own Shakespeare production!"
196C,United States,Restore The Roxy,Theater,Philadelphia Film Society,Help bring film from around the world to Philadelphia by supporting PFS in their effort to restore the Roxy Theater.
197C,United States,Putting It Together: Porchlight Music Theatre,Theater,Porchlight Music Theatre,Help fund the salaries of the performers in this Sondheim revue by Porchlight Music Theatre.
198C,United States,Asylum,Theater,Meredith Laboon,"When Gary lucid dreamshe can control almost everything. But when he becomes addicted, who's really in control- himself or his dreams?"
199C,United States,Daaang Judi Dench Goes On Tour,Theater,Daaang Judi Dench,"We're going on tour! Help support four women in search of comedy, as they push the boundaries of improv in LA, Detroit, Chicago & beyond"
200C,United States,Tape By Stephen Belber,Theater,Derek Underwood,"TAPE is a sordid and beautiful take on human relationships.""-Show Business Weekly"
201C,United States,"Labrats Year Four: Doing More, Asking For Less!",Theater,James,Producing two new plays! Rise and Fall of a Teenage Cyber Queen by Lindsay Joy Murphy and Carroll Gardens by Lawrence Dial.
202C,United States,Bio-Hazard: A Relative Comedy,Theater,Sarah Elizabeth Greer,"Sarah Elizabeth Greer is found by her ""bio""which completely shifts her Reality. And suddenly EVERY impossibility becomes possible."
203C,United States,Tilted Field Presents No Static At All In New York City,Plays,Alex Knox,This one-man play made a splash on the west coast. Help shine a spotlight on this rock & roll spectacle in NEW YORK CITY!
204C,United States,End Of The Reel: The Columbian Theater Goes Digital,Theater,Jeanine Fairchild,"Due to recent industry requirements, by the end of summer 2013, the Columbian Theater will be required to go digital or go dark!"
205C,United States,Frozen,Theater,That G! Theatre,Botany. Ice. An undercurrent of violence. A luminous dissection of what makes us human and what lurks beneath our skins.
206C,United States,Strange Occurrences: Performances For Non-Theater Spaces,Theater,Mugwumpin,Mugwumpin's Occurrences series brings the company's idiosyncraticvisceral performance out the theater doors and into the wide wide world.  
207C,United States,Dani Girl Is Going To Dallas!,Theater,Greyman Theatre Company,Help get Greyman Theatre Company's production of DANI GIRL: An Original Musical to Dallas' Out of the Loop Fringe Festival!
208C,United States,The Anthropologists Love-A-Thon!,Theater,The Anthropologists,"""For the Love Of..."" is a constellation of three visceral and absurd dance plays. It's dance, but it's not dance. It's choreographed emotion."
209C,United States,The House Of Ichabod Crane,Immersive,Trusty Sidekick Theater Company,"What really happened to poor Ichabod Crane? The truth will emerge at this exciting, immersive retelling of a haunting American legend."
210C,United States,Marx Brothers Festival New York,Theater,Kevin C. Fitzpatrick,"Help support New York's Marxfest, celebrating the 100th Anniversary of the Marx Brothers adopting their ""O"" nicknames."
211C,United States,The Seven Swan Brothers,Theater,Megan Skye Hale,"Mask and puppet performance of the lesser known fairy tale The Seven Swan Brothers.  Collaborative effort of movement, masks, and love."
212C,United States,$3000 For 3Sticks' Le Gourmand Or Gluttony! @ Fringenyc 2011,Theater,Katie Hartman,A ten-course tale of appetiterevolution and the birth of the restauranthosted by the delightfully deformed French foodieGrimod.
213C,United States,Freaking Awesome 2014 Season,Theater,Three Day Hangover,A season of plays you thought you knewmade new. We'll bring Shakespeare & Chekhov out to the bar and tell their stories really well.
214C,United States,Spiritual Enlightenment Center - Help Raise Our Vibrations!,Spaces,Becky Guymon,"This center will be open to any and all people regardless of their religion.   We will be offering art, music, empowerment, and more!"
215C,United States,Puberty: The Musical,Musical,Ryan O'Hara,It feels like the first time. Like the very first time everyone's coming-of-age comes to the stage. Think 'Wicked'with bad acne.
216C,United States,Magical Workshopmagic/Hobby Store,Spaces,Valdino,Help expand the time of everyones favorite magic store!  It currently limited to 3 days a week. If not for youthen the children!
217C,Italy,I Camminatori In Teatro,Experimental,Riccardo Negrelli,"Raccogliamo fondi per finanziare il progetto di sviluppo teatrale del romanzo a fumetti ""I Camminatori""scritto da Otto Gabos"
218C,United States,Tearing Down Cabrini-Greena Dynamic Social Commentary.,Plays,Donnie F. Wilson,A richly textured and intellectually powerful social commentary about familycommunity and America.
219C,United States,The Man From Willow's Brooka New Play By Kevin Kordis,Plays,Kevin Kordis,We have the Blackbox Fellowship at Boston Playwright's Theatrenow all we need is your support to produce Kevin's new play!
221C,United States,Uncommonly Good: Stories Of Lifefood And The Birth Of Good Commons,Nonfiction,Good Commons,"Part memoir and part cookbook with a heavy dose of humor""Uncommonly Good..."" tells the story of what happens when small dreams become big."
222C,United States,Fireside Magazine Issue Two & Beyond,Fiction,Brian White,Fireside is a multigenre magazine of fiction and comics. We have two goals: to publish good storytelling and to pay creators well.
223C,United States,"""Playing With Napkins"" Coffee Table Book",Art Books,Brian D. Parker,A surprising collection - temporary napkin art with coffee and a bagel. An idle hobby turned obsession. Sure to bring smiles.
224C,United States,"Chawton Cottage Collection, A Knitting  Book",Publishing,Kirsti Johanson,A book of armchair travels with Jane Austen's characters through prose & patterns...knitting inspired by literature
225C,United States,"Editing Needed For ""First Semester Physics Survival Guide""",Nonfiction,Teman H. Cooke,"This bookonce edited & published, will help undergraduate students survive and thrive in the first semester of algebra-based physics."
226C,United States,"""Little Brother"" Vs. Big Brother",Publishing,Emily Jacobi,"Translating Cory Doctorow's book ""Little Brother"" into Burmese languages to broaden the debate on technology for freedom against tyranny."
227C,United States,Eversees And The Magic Tree - Children's Picture Book,Children's Books,Lizzie Rose,When Miriam and her cat Eversees meet the Magic Treethey learn it's easy to be happy when you choose to see the love all around you.
228C,United Kingdom,Revealed: The Photographs Of Francesco Mellina,Publishing,Michael March,REVEALED is a book of black and white photographs of bands and their audiences taken in and around music venues between 1977-82.
229C,United States,Land Of A Thousand Bridges June Millington Autobiography,Nonfiction,Institute For The Musical Arts,This is the story that's never been told: how girls in the mid-60's started all-girl bandslearned to play electricand became Fanny.
230C,United States,Kanye's Pug Calendar - 2014% Awesome,Calendars,Meet The Pugs,"FORGET ABOUT FIREMEN AND CATS, THIS IS THE CALENDAR YOU WANT. SEXY, CUTE AND 2014% AWESOME"
231C,United States,Goodbye Paris: A Collaborative Memoir,Nonfiction,Joe Bunting,A writer goes to Paris. YOU choose what happens when he gets there. Thenhe writes a book about it.
232C,United States,"""Take Your Time Loving Me""",Art Books,Margaux Kent,"This is a book about unexpected shedding(s). Transformation.And about the time Søren, then 3, said ""Mama, take your time loving me"""
233C,United States,Cecilia Llompart: Poetry Reading Tour2011,Poetry,Cecilia Llompart,Writers tend to wait until they have a book published to go on any sort of reading tour...
234C,United States,Berty - An Illustrated Artist's Novel,Art Books,Project Berty,"Part of a larger art project involving an exhibition, BERTY is a journey through classic texts on the machine and the human condition."
235C,United States,Death's Daughter And The Basket Of Kittens,Publishing,Martha Hull,"An adorable coming of age tale (and apocalyptic bloodbath) starring the Grim Reaper's daughter, told in a 64-page color picture book."
236C,Canada,Zalmania - A Book Of Portraits From The Prior Photohouse,Art Books,Sternthal Books,"Before cameras, Tel-Avivians went to the Pri-Or PhotoHouse to document their memories. Help us digitize portraits and make a book!"
237C,United States,The Library Of Philip Johnson,Art Books,Birch Cooper,Help preserve part of America's cultural heritage by supporting our project. All proceeds benefit architect Philip Johnson's library.
238C,Canada,Puddles Or Lunch?,Children's Books,Anna Makonin,"Uh-oh, dinosaurs with muddy feet don't get lunches! And this dinosaur is hungry! A fun story with a subtle message of resilience. 4 yr+"
239C,United States,Assassination Theater,Theater,Hillel Levin,A Staged Reading and World Premier of ASSASSINATION THEATER--a factual presentation about the conspiracy to kill JFK
240C,United States,Untitled Consciousness Project,Immersive,PaJaMa,An exploratorium merging meditative durational performance and interactive installations to inspire altered states of consciousness.
